,Location Code,Plant Number,Installed Component,Installed Modifier,EGI FP,EGI PI,Equipment Number,Script ID,Script Description,Attribute ID,Script Item Number,Questions,Response Description,Response Score,Document Link,Inspection Date,Script Activity ID,Script Result ID,Work Order Number,Site GPS,INSI Script Item Number,Response,Site,Work Group,Zone,Asset Owner Code,Actioned Date,Result Text,Script Version Number,Inspection Act History ID,Document Number
,SUND4,SUND4X30VT,VT ,R,P4V,P4VE01,000000405215,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN01,1,Is the asset available?,YES,1,,2022-08-01 00:00:00,S-0659829,SRR-10328009,05264279,LU4,1,F312,SUND,TCNWANG,TCN,TA,,,1,697562,
,SUND4,SUND4X30VT,VT ,R,P4V,P4VE01,000000405215,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN02,2,"Visually inspect general condition of the asset (civils, earthing, support structure, main body, ancillaries, fixing interfaces/flanges, paintwork (protective coating), weather seals, porcelain insulation) and also for any signs of leakage.",,,,2022-08-01 00:00:00,S-0659829,SRR-10328010,05264279,LU4,2,INSTRUCTIONS READ,SUND,TCNWANG,TCN,TA,,,1,697562,
,SUND4,SUND4X30VT,VT ,R,P4V,P4VE01,000000405215,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN03,4,Do you want to report any condition deterioration of the asset,NO,0,,2022-08-01 00:00:00,S-0659829,SRR-10328011,05264279,LU4,4,F311,SUND,TCNWANG,TCN,TA,,,1,697562,
,SUND4,SUND4X30VT,VT ,R,P4V,P4VE01,000000405215,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN04,5,Please take a wide photograph of the asset,,,\\UKLD3-STNCPR01.prod.nationalgrid.com/Home27_wrk$/FieldStaff/SharePointFilestructure/ConditionMonitoring/SubstationImages/SUND4/SUND4X30VT/SUND4X30VT_20220801_140640_SRR-10328012_5.0_1.JPG,2022-08-01 00:00:00,S-0659829,SRR-10328012,05264279,LU4,5,34314,SUND,TCNWANG,TCN,TA,,,1,697562,34314
,SUND4,SUND4X30VT,VT ,Y,P4V,P4VE01,000000405216,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN01,1,Is the asset available?,YES,1,,2022-08-01 00:00:00,S-0659838,SRR-10328029,05264279,LU4,1,F312,SUND,TCNWANG,TCN,TA,,,1,697566,
,SUND4,SUND4X30VT,VT ,Y,P4V,P4VE01,000000405216,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN02,2,"Visually inspect general condition of the asset (civils, earthing, support structure, main body, ancillaries, fixing interfaces/flanges, paintwork (protective coating), weather seals, porcelain insulation) and also for any signs of leakage.",,,,2022-08-01 00:00:00,S-0659838,SRR-10328030,05264279,LU4,2,INSTRUCTIONS READ,SUND,TCNWANG,TCN,TA,,,1,697566,
,SUND4,SUND4X30VT,VT ,Y,P4V,P4VE01,000000405216,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN03,4,Do you want to report any condition deterioration of the asset,NO,0,,2022-08-01 00:00:00,S-0659838,SRR-10328031,05264279,LU4,4,F311,SUND,TCNWANG,TCN,TA,,,1,697566,
,SUND4,SUND4X30VT,VT ,Y,P4V,P4VE01,000000405216,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN04,5,Please take a wide photograph of the asset,,,\\UKLD3-STNCPR01.prod.nationalgrid.com/Home27_wrk$/FieldStaff/SharePointFilestructure/ConditionMonitoring/SubstationImages/SUND4/SUND4X30VT/SUND4X30VT_20220801_140843_SRR-10328032_5.0_1.JPG,2022-08-01 00:00:00,S-0659838,SRR-10328032,05264279,LU4,5,34315,SUND,TCNWANG,TCN,TA,,,1,697566,34315
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN01,1,Is the asset available?,YES,1,,2022-08-01 00:00:00,S-0659897,SRR-10328407,05264279,LU4,1,F312,SUND,TCNWANG,TCN,TA,,,1,697585,
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN02,2,"Visually inspect general condition of the asset (civils, earthing, support structure, main body, ancillaries, fixing interfaces/flanges, paintwork (protective coating), weather seals, porcelain insulation) and also for any signs of leakage.",,,,2022-08-01 00:00:00,S-0659897,SRR-10328408,05264279,LU4,2,INSTRUCTIONS READ,SUND,TCNWANG,TCN,TA,,,1,697585,
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN03,4,Do you want to report any condition deterioration of the asset,YES,1,,2022-08-01 00:00:00,S-0659897,SRR-10328409,05264279,LU4,4,F312,SUND,TCNWANG,TCN,TA,,Oil leak at sight glass.,1,697585,
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VICIVCN01,7,Rate condition of the foundation / base,"NO SIGNIFICANT DEFECT, AS GOOD AS NEW",0,,2022-08-01 00:00:00,S-0659897,SRR-10328410,05264279,LU4,7,$F491,SUND,TCNWANG,TCN,TA,,,1,697585,
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN06,10,Is the asset support structure steel or concrete?,STEEL,,,2022-08-01 00:00:00,S-0659897,SRR-10328411,05264279,LU4,10,$F552,SUND,TCNWANG,TCN,TA,,,1,697585,
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VICIVMT01,13,Rate corrosion on the steel asset support structure,G2-COATING INTACT (<1%)/VERY LIGHT CORROSION,20,,2022-08-01 00:00:00,S-0659897,SRR-10328412,05264279,LU4,13,F482,SUND,TCNWANG,TCN,TA,,,1,697585,
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN05,14,Please take photograph(s) to support the condition score selected,,,\\UKLD3-STNCPR01.prod.nationalgrid.com/Home27_wrk$/FieldStaff/SharePointFilestructure/ConditionMonitoring/SubstationImages/SUND4/SUND4X30VT/SUND4X30VT_20220801_141821_SRR-10328413_14.0_1.JPG,2022-08-01 00:00:00,S-0659897,SRR-10328413,05264279,LU4,14,34316,SUND,TCNWANG,TCN,TA,,,1,697585,34316
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN05,14,Please take photograph(s) to support the condition score selected,,,\\UKLD3-STNCPR01.prod.nationalgrid.com/Home27_wrk$/FieldStaff/SharePointFilestructure/ConditionMonitoring/SubstationImages/SUND4/SUND4X30VT/SUND4X30VT_20220801_141821_SRR-10328413_14.0_2.JPG,2022-08-01 00:00:00,S-0659897,SRR-10328413,05264279,LU4,14,34317,SUND,TCNWANG,TCN,TA,,,1,697585,34317
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VIGEN05,14,Please take photograph(s) to support the condition score selected,,,\\UKLD3-STNCPR01.prod.nationalgrid.com/Home27_wrk$/FieldStaff/SharePointFilestructure/ConditionMonitoring/SubstationImages/SUND4/SUND4X30VT/SUND4X30VT_20220801_141821_SRR-10328413_14.0_3.JPG,2022-08-01 00:00:00,S-0659897,SRR-10328413,05264279,LU4,14,34318,SUND,TCNWANG,TCN,TA,,,1,697585,34318
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VIANC01,16,Are the asset ancillaries available?,NO,0,,2022-08-01 00:00:00,S-0659897,SRR-10328414,05264279,LU4,16,F311,SUND,TCNWANG,TCN,TA,,,1,697585,
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VIANC05,21,Access available for weather sealing?,NO,0,,2022-08-01 00:00:00,S-0659897,SRR-10328415,05264279,LU4,21,F311,SUND,TCNWANG,TCN,TA,,,1,697585,
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VICIVGA09,26,Do any of the earthing connections need reporting,NO,0,,2022-08-01 00:00:00,S-0659897,SRR-10328416,05264279,LU4,26,F311,SUND,TCNWANG,TCN,TA,,,1,697585,
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VICIVGA12,31,Does the asset body need reporting,NO,0,,2022-08-01 00:00:00,S-0659897,SRR-10328417,05264279,LU4,31,F311,SUND,TCNWANG,TCN,TA,,,1,697585,
,SUND4,SUND4X30VT,VT ,B,P4V,P4VE01,000000405214,RVIVTAA,VT S/S VISUAL INSPECTION,VICIVGA12,45,Does the asset body need reporting,NO,0,,2022-08-01 00:00:00,S-0659897,SRR-10328418,05264279,LU4,45,F311,SUND,TCNWANG,TCN,TA,,,1,697585,
